Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
Control	0	0	0.188853837883984	0	0.0352593354692758	0	0	0.00654129188416653	0	0.191827171790702	0	0	0	0.0926930083098969	0	0	0	0.00927947929324337	0	0.269320296549354	0.344396211214467	0.645593189302991	0.16	0.494677824054076	0.867512905100342	1.78376382169808
Control.1	0	0	0.158041157228559	0	0	0.0689777320055833	0	0	0	0.0045458732689238	0.246648695710604	0	0.14877372888066	0.238711254944107	0	0	0	0.165828243917042	0	0.254080355742021	0.0173425208857973	0.613981298937485	0.22	0.466749561253646	0.883568147839996	1.91693086152078
Control.2	0	0	0.0117054714186455	0.0811504087274374	0.0663094605661865	0	0.00280814545536238	0	0	0.218745366405515	0	0	0	0	0	0.0367115863443814	0	0	0	0.215176320548351	0.544442180613877	0.348441543039755	0.12	0.543365650759227	0.832851156901418	1.52549048311951
Control.3	0	0	0.232096960292698	0	0	0	0	0	0	0.214425741574681	0	0	0	0.229865438111072	0	0	0	0.22344234152733	0	0.272474978226559	0	0.521517199494708	0.42	0.310362993644526	0.964675495319941	1.69382265922705
Control.4	0	0	0.126320573781528	0	0	0.114914528871657	0	0	0	0	0.0983972341813696	0	0	0.0129436845694783	0	0	0	0.142184183116596	0	0.236793794923031	0.498097298549536	0.57731473447039	0.08	0.607895489535237	0.78818391417673	1.80696603246359
Control.5	0.0164681177305837	0	0.0292607681160337	0	0.0178379376271145	0.0780617641665822	0	0	0	0.0550493629364407	0.103530826153524	0	0.13240302748629	0	0.0318479538235957	0.144529701258847	0	0.069403866503565	0	0.262006046142821	0.142245225521556	0.206476976708517	0.52	0.24432550836166	0.975854715689997	1.28912157417547
Control.6	0	0	0.0548636504912393	0	0.0497808403035629	0.10540434915324	0	0	0	0.145711343449465	0.00767315104577926	0	0.106971002027735	0	0	0.156114271412798	0	0.0160924210504863	0	0.1085389484892	0.365950438530685	0.0895043300327838	0.35	0.375096650407467	0.921915104929083	1.20660474598698
Control.7	0.0435145348174654	0	0.016897463849764	0	0	0.148216559061919	0	0	0	0.160580591342143	0	0.000382760626725697	0.302619689586138	0.0753102645890989	0	0	0	0.154389827518988	0	0.240633790983934	0.154130296370503	0	0.54	0.229819699619299	0.978327876623442	1.29667577874668
Control.8	0	0	0.169492764385295	0.00489678302885211	0	0	0	0	0	0.285784664639689	0	0	0	0.123755669554235	0	0	0	0.262569385777814	0	0.261261115484033	0	0.513036127829749	0.28	0.422913989694188	0.899741918945559	1.62079651069967
Control.9	0	0	0.112884096474407	0	0	0	0	0	0	0.111363300613668	0	0.0486760489456231	0	0.191729019386288	0	0	0	0.149972695604546	0	0.272307859828014	0	0.460411537008064	0.25	0.446515972298638	0.894014836388354	1.34734455786061
Control.10	0	0	0.0578044484916776	0	0.0719624502885923	0.104633141441279	0	0	0	0.18874233145466	0.0533790281275663	0	0.248526246558333	0.0511189625210758	0.0676394594945294	0	0	0.171379740940894	0	0.274223721927342	0.157336540509286	0.0149459413668097	0.56	0.206774572297276	0.980022040968487	1.46169201312204
D0_Severe	0	0	0.482118062204067	0	0.0262462513953761	0	0	0.0105914528914736	0	0.122346827350251	0.189709722156381	0	0	0.165698323936305	0	0	0	0.532657671106287	0	0.350910122014122	0	1.14701614608744	0.42	0.311521384285484	0.95996978322215	3.02729457914171
D0_Severe.1	0	0	0.120078198774277	0	0	0	0	0	0	0.228677597447895	0	0	0	0.0828467277946189	0	0	0.131264922939964	0.357526119237426	0	0.0819833215384747	0	0.375913964979012	0.53	0.231933559813022	0.982203477969886	1.37829085271167
D0_Severe.2	0	0	0.0352372326252438	0	0	0	0	0	2.94063793636779e-05	0.123551639967782	0.0270433911322178	0	0	0.226782126298773	0	0	0	0.268233778565851	0	0.206916728496999	0	0.926543313961119	0.22	0.469118492890771	0.896230685578262	1.81433761742735
D0_Severe.3	0	0	0.256366324927615	0	0.0130088569551762	0.00574396355516608	0	0.00705743665209313	0	0.231257179816678	0.00453358948580212	0	0	0.198248323727273	0	0	0	0.158150934163227	0	0.263719408571459	0	1.01042216551463	0.22	0.468064634934744	0.887717110288503	2.14850818336912
D0_Severe.4	0	0	0.279392456952657	0	0.0273893248790596	0.0123611331440215	0	0.0122658612542955	0	0.16643918891001	0.13265627528625	0	0	0.0516586875697873	0	0	0	0.428659868070723	0	0.30713245052478	0	0.97702310898215	0.21	0.469802729584783	0.875695864474514	2.39497835557373
D0_Severe.5	0	0	0.28382575165234	0	0	0	0	0	0	0.137855587657922	0.0609662459489896	0	0	0.219937559512974	0	0	0	0.261076670824205	0	0.248211416246374	0	0.962582071591848	0.45	0.278415851242478	0.997328898169828	2.17445530343465
D0_Severe.6	0	0	0.312655458875117	0	0.0334310608834374	0.0170003059264084	0	0.0296118302467773	0.0126286731099275	0.125140208338162	0.227635624216118	0	0	0	0	0	0	0.400379017986211	0	0.376492308227131	0	1.17733810695531	0.26	0.432740546732922	0.897258917934294	2.7123125947646
D0_Severe.7	0	0.00898934672189512	0.108776182692707	0	0	0.116501305777657	0	0.0685892258730412	0	0.166156741826081	0.108806097198504	0	0	0.248829072045122	0	0	0	0.117273545642603	0	0.261249188657381	0	0.861560520397339	0.12	0.529404717865578	0.84490859560072	2.06673122683233
D0_Severe.8	0	0	0.172593435793092	0	0	0	0	0	0	0.209165633674035	0	0	0	0.10223642871525	0	0	0	0.253337140476247	0	0.127629803523564	0	0.606092145371171	0.41	0.326028453253233	0.958101606134003	1.47105458755336
