Gene Name	logFC_D0	logFC_D7	logFC_CS31
UBA6	0.484397328	0.460910233	0.434078357
NDUFA4	-0.565504354	-0.433987091	-0.269489215
NDUFAB1	-0.356001368	-0.371114631	-0.316265202
PDE5A	0.500592036	0.512070877	0.293171116
SEC24D	0.360171669	0.277691441	0.264378542
IGKC	0.706661874	0.689301145	0.520359495
LMNA	-0.682946767	-0.637361159	-0.328400284
FN1	0.621566257	0.503988348	0.517486277
GPI	0.450236369	0.480803318	0.387415157
GPX1	-0.494066606	-0.470239569	-0.392451142
ANXA2	-0.888992226	-0.798251982	-0.305783561
ANXA6	-0.636092831	-0.651333638	-0.30959113
HCLS1	-0.548205453	-0.421903482	0.350513679
LMNB1	-0.61827629	-0.60010073	-0.269608985
NDUFS1	-0.319674005	-0.309593765	-0.284158366
OAS2	0.506535737	0.31172979	0.331529789
PRDX3	-0.298634989	-0.312605469	-0.284225355
SERPINB1	0.277044753	0.314241826	0.441959865
PHB1	-0.36668249	-0.345410383	-0.27398464
MDH2	-0.487530372	-0.370409974	-0.292410765
OXCT1	-0.298683866	-0.303454487	-0.266100424
ATP5ME	-0.338061623	-0.332169606	-0.264448467
OGDH	-0.423304186	-0.425557924	-0.325364662
LMNB2	-0.646882435	-0.651858883	-0.312304056
SSBP1	-0.550363309	-0.534453499	-0.304137435
FKBP5	0.354727992	0.390851261	0.37109858
RBBP7	-0.736528	-0.612220164	-0.362569954
NBEAL2	0.319297364	0.423253989	0.371813811
NHLRC2	0.400185135	0.319669758	0.343424599
GIMAP1	-0.443892435	-0.543260617	-0.488253802
DNAJC7	0.6863117	0.494386173	0.534223253
HSD17B10	-0.329278036	-0.326650935	-0.316754098
ATP5IF1	-0.554238284	-0.379934294	-0.324064104
GSTK1	-0.45802408	-0.358789952	-0.278288523
